survived,class,gender,age,fare
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
yes,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,female,adult,low
no,3,female,adult,low
no,3,male,adult,low
no,3,female,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,female,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
yes,3,female,teen,low
yes,3,male,adult,low
yes,3,male,adult,low
yes,3,female,adult,low
yes,3,female,adult,low
yes,3,male,adult,low
yes,3,male,adult,low
yes,3,male,adult,low
yes,3,male,adult,low
yes,3,female,teen,low
no,3,male,teen,low
no,3,male,teen,low
no,3,male,teen,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
yes,3,male,teen,low
yes,3,female,teen,low
yes,3,male,teen,low
yes,3,male,teen,low
yes,3,female,adult,low
yes,3,male,adult,low
yes,3,male,adult,low
no,3,male,teen,low
no,3,male,teen,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
yes,3,male,baby,low
yes,3,female,teen,low
no,3,male,adult,low
no,3,male,teen,low
no,3,male,teen,low
no,3,male,teen,low
no,3,male,teen,low
no,3,male,teen,low
no,3,female,adult,low
no,3,male,adult,low
no,3,female,adult,low
no,3,male,adult,low
no,3,female,adult,low
no,3,female,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,female,adult,low
no,3,male,adult,low
no,3,male,adult,low
yes,3,male,adult,low
no,3,male,adult,low
yes,3,female,adult,low
no,3,female,adult,low
yes,3,female,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,teen,low
no,3,male,adult,low
no,3,male,adult,low
yes,3,male,teen,low
no,3,male,adult,low
no,3,male,adult,low
yes,3,male,baby,low
yes,3,female,teen,low
no,3,female,adult,low
no,3,male,adult,low
no,3,male,teen,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
yes,3,male,adult,low
yes,3,male,adult,low
yes,3,male,adult,low
no,3,female,adult,low
yes,3,female,elderly,low
no,2,male,elderly,low
no,3,female,adult,low
no,3,female,adult,low
no,3,female,adult,low
yes,3,female,teen,low
no,3,male,adult,low
no,3,male,teen,low
no,3,female,child,low
no,3,female,adult,low
no,2,male,teen,low
no,2,male,teen,low
no,2,male,teen,low
no,2,male,teen,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,female,adult,low
no,2,male,elderly,low
no,2,male,elderly,low
yes,2,female,teen,low
yes,2,male,teen,low
yes,2,female,adult,low
yes,2,female,adult,low
yes,2,male,adult,low
yes,2,male,adult,low
yes,2,female,adult,low
yes,2,female,adult,low
yes,2,female,adult,low
yes,2,female,adult,low
yes,2,female,adult,low
yes,2,male,elderly,low
no,3,female,adult,low
yes,3,female,baby,low
yes,3,male,child,low
yes,3,female,adult,low
yes,3,male,child,low
yes,3,female,teen,low
no,2,male,teen,low
no,2,male,teen,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
yes,2,female,teen,low
no,3,female,baby,low
no,3,female,adult,low
no,2,male,adult,low
yes,3,female,child,low
yes,3,female,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,elderly,low
yes,2,female,adult,low
yes,3,female,child,low
yes,3,male,child,low
yes,3,female,adult,low
yes,3,female,adult,low
no,2,male,adult,low
yes,2,female,adult,low
yes,2,male,adult,low
no,2,male,adult,low
no,2,male,teen,low
no,2,female,teen,low
no,2,male,teen,low
no,2,male,teen,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,female,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,female,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,female,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
yes,2,female,teen,low
yes,2,female,teen,low
yes,2,female,adult,low
yes,2,female,adult,low
yes,2,female,adult,low
yes,2,female,adult,low
yes,2,male,adult,low
yes,2,female,adult,low
yes,2,female,adult,low
yes,2,male,adult,low
yes,2,female,adult,low
yes,2,female,adult,low
yes,2,female,adult,low
yes,2,female,adult,low
yes,2,female,adult,low
yes,2,male,adult,low
yes,3,female,child,low
yes,3,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
yes,2,female,adult,low
yes,2,female,adult,low
no,3,male,baby,low
no,3,female,child,low
no,3,female,adult,low
yes,2,female,adult,low
yes,2,female,adult,low
yes,2,male,adult,low
yes,2,female,adult,low
yes,2,male,adult,low
no,3,male,adult,low
yes,3,female,adult,low
no,2,male,adult,low
no,3,male,adult,low
yes,3,female,adult,low
no,3,male,baby,low
no,3,female,adult,low
no,3,male,adult,low
no,3,female,teen,low
no,3,female,teen,low
no,3,male,teen,low
no,3,male,adult,low
no,3,male,adult,low
no,3,female,adult,low
yes,3,female,teen,low
no,3,female,teen,low
no,3,male,child,low
no,3,male,teen,low
no,3,male,adult,low
no,3,female,adult,low
no,3,male,adult,low
yes,2,male,baby,low
yes,2,female,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,3,male,adult,low
no,3,male,child,low
no,3,female,child,low
yes,3,male,child,low
yes,3,female,child,low
yes,3,female,adult,low
no,3,female,adult,low
no,3,male,adult,low
no,3,female,adult,low
no,3,male,adult,low
yes,3,female,baby,low
yes,3,female,teen,low
yes,3,male,adult,low
yes,2,female,child,low
yes,2,female,adult,low
no,3,male,adult,low
no,3,male,adult,low
yes,3,female,adult,low
yes,3,female,adult,low
yes,3,male,child,low
yes,3,male,child,low
yes,3,female,adult,low
no,2,male,adult,low
yes,2,female,adult,low
no,3,female,teen,low
no,3,male,adult,low
no,3,male,adult,low
no,3,female,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
yes,3,female,teen,low
yes,3,female,baby,low
yes,3,female,child,low
yes,3,female,adult,low
yes,3,female,adult,low
yes,3,male,adult,low
no,3,female,teen,low
no,3,male,adult,low
no,3,male,teen,low
no,3,female,teen,low
no,3,male,adult,low
no,3,female,adult,low
yes,2,male,baby,low
yes,2,male,child,low
yes,2,female,adult,low
no,3,male,child,low
yes,3,male,adult,low
yes,3,female,baby,low
yes,3,female,baby,low
yes,3,female,child,low
yes,3,female,adult,low
yes,2,female,teen,low
yes,2,female,adult,low
no,3,female,child,low
no,3,male,teen,low
no,3,female,adult,low
no,3,male,teen,low
no,3,male,teen,low
yes,3,female,adult,low
no,3,male,adult,low
yes,3,male,child,low
yes,3,female,adult,low
no,3,male,adult,low
yes,3,female,baby,low
yes,3,male,baby,low
yes,3,female,adult,low
no,2,female,adult,low
no,2,female,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
yes,2,female,adult,low
yes,2,female,adult,low
yes,2,female,adult,low
yes,2,female,adult,low
yes,2,female,adult,low
no,3,male,child,low
no,3,female,child,low
no,3,male,child,low
no,3,female,child,low
no,3,female,adult,low
yes,3,female,child,low
yes,3,female,adult,low
yes,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
yes,2,male,child,low
yes,2,female,child,low
yes,2,female,teen,low
yes,2,female,adult,low
yes,2,female,adult,low
yes,2,female,adult,low
yes,2,female,adult,low
no,2,male,adult,low
yes,2,female,adult,low
no,3,female,child,low
no,3,male,adult,low
no,3,male,adult,low
no,3,female,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,1,male,adult,low
yes,1,female,adult,low
yes,1,female,adult,low
yes,1,female,adult,low
no,2,male,teen,low
no,2,male,adult,low
no,2,female,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,female,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,1,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,female,adult,low
no,2,male,adult,low
no,1,male,adult,low
no,2,male,adult,low
no,1,male,adult,low
no,1,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,female,adult,low
no,2,male,elderly,low
no,1,male,elderly,low
yes,2,male,child,low
yes,2,female,child,low
yes,2,male,child,low
yes,2,female,child,low
yes,2,female,teen,low
yes,2,female,teen,low
yes,2,female,adult,low
yes,2,female,adult,low
yes,2,female,adult,low
yes,2,female,adult,low
yes,2,female,adult,low
yes,2,female,adult,low
yes,2,female,adult,low
yes,2,male,adult,low
yes,2,female,adult,low
yes,2,female,adult,low
yes,2,female,adult,low
yes,2,female,adult,low
no,1,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
yes,2,female,child,low
yes,2,female,child,low
yes,2,female,adult,low
yes,2,female,adult,low
yes,1,female,teen,low
yes,1,male,adult,low
yes,1,male,adult,low
yes,1,male,adult,low
yes,1,male,adult,low
no,1,male,adult,low
no,1,male,adult,low
no,1,male,adult,low
no,1,male,adult,low
no,1,male,adult,low
no,1,male,adult,low
no,1,male,elderly,low
no,1,male,elderly,low
no,1,male,elderly,low
yes,1,female,adult,low
yes,1,male,adult,low
yes,1,male,adult,low
yes,1,male,adult,low
yes,1,male,adult,low
yes,1,male,adult,low
yes,1,female,adult,low
yes,1,female,elderly,low
yes,1,male,adult,low
no,2,male,adult,low
yes,2,female,adult,low
yes,1,female,adult,low
no,1,male,adult,low
no,2,male,adult,low
no,1,male,adult,low
yes,2,female,adult,low
yes,1,female,adult,low
yes,1,male,adult,low
yes,1,female,adult,low
yes,1,female,adult,low
no,2,male,adult,low
yes,2,female,baby,low
yes,2,female,child,low
yes,2,female,adult,low
no,1,male,adult,low
no,3,female,child,low
no,3,male,child,low
no,3,female,child,low
no,3,male,child,low
no,3,male,adult,low
no,3,female,adult,low
no,1,male,adult,low
yes,1,male,adult,low
yes,1,male,adult,low
no,1,female,adult,low
yes,2,male,baby,low
yes,2,female,adult,low
yes,2,male,adult,low
no,3,male,child,low
no,3,male,child,low
no,3,male,child,low
no,3,male,child,low
no,3,male,child,low
no,3,female,adult,low
no,1,male,adult,low
no,1,male,adult,low
no,1,male,adult,low
yes,1,male,adult,low
no,1,male,adult,low
yes,1,female,teen,low
yes,2,female,adult,low
yes,2,female,adult,low
yes,1,male,elderly,low
yes,1,male,adult,low
no,2,male,adult,low
yes,2,female,teen,low
no,1,male,adult,low
no,1,male,adult,low
yes,1,male,adult,low
yes,1,male,adult,low
yes,1,male,adult,low
no,1,male,adult,low
yes,1,female,adult,low
yes,1,male,adult,low
no,3,female,child,low
no,3,male,child,low
no,3,female,child,low
no,3,female,child,low
no,3,female,child,low
no,3,male,adult,low
no,3,female,adult,low
no,3,male,child,low
no,3,male,child,low
no,3,male,teen,low
no,3,male,adult,low
yes,3,male,child,low
yes,3,female,child,low
yes,3,female,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,2,male,adult,low
no,1,female,adult,low
no,1,male,elderly,low
no,2,male,adult,low
yes,2,male,child,low
yes,2,female,adult,low
no,2,male,adult,low
yes,2,female,child,low
no,1,male,elderly,low
no,1,male,adult,low
no,3,female,child,low
no,3,male,teen,low
no,3,male,teen,low
no,3,female,adult,low
no,3,female,adult,low
no,1,male,elderly,low
no,1,male,adult,low
yes,1,male,adult,low
yes,1,male,adult,low
no,2,male,teen,medium
yes,2,male,child,medium
yes,2,female,adult,medium
yes,2,female,adult,medium
no,2,male,adult,medium
yes,2,male,baby,medium
yes,2,female,adult,medium
no,1,male,adult,medium
no,2,male,adult,medium
yes,2,male,baby,medium
yes,2,female,child,medium
yes,2,female,child,medium
yes,2,female,teen,medium
yes,2,female,adult,medium
yes,2,female,adult,medium
yes,1,female,teen,medium
yes,1,female,adult,medium
yes,1,female,adult,medium
no,3,male,baby,medium
no,3,male,child,medium
no,3,male,child,medium
no,3,male,teen,medium
no,3,male,teen,medium
no,3,female,adult,medium
no,3,female,adult,medium
no,1,male,adult,medium
no,2,male,adult,medium
yes,2,female,baby,medium
yes,2,female,child,medium
yes,2,female,adult,medium
no,1,male,adult,medium
no,1,male,adult,medium
no,1,male,adult,medium
no,3,male,baby,medium
no,3,male,child,medium
no,3,female,child,medium
no,3,male,child,medium
no,3,male,teen,medium
no,3,female,teen,medium
no,3,male,adult,medium
no,3,female,adult,medium
no,1,male,teen,medium
no,1,male,adult,medium
yes,1,female,adult,medium
no,1,male,elderly,medium
yes,1,female,adult,medium
no,1,male,adult,medium
no,1,male,adult,medium
no,1,male,adult,medium
yes,1,female,adult,medium
yes,1,female,adult,medium
no,1,male,adult,medium
no,1,male,adult,medium
no,1,male,adult,medium
no,1,male,adult,medium
no,1,male,adult,medium
yes,1,female,adult,medium
yes,1,female,adult,medium
yes,1,male,adult,medium
yes,1,male,adult,medium
yes,1,male,adult,medium
yes,1,female,adult,medium
yes,1,female,adult,medium
no,1,male,teen,medium
no,1,male,adult,medium
yes,1,female,teen,medium
yes,1,male,adult,medium
yes,1,female,adult,medium
yes,1,female,adult,medium
yes,1,female,adult,medium
yes,1,male,adult,medium
yes,1,female,adult,medium
yes,1,female,adult,medium
yes,1,male,adult,medium
no,1,male,adult,medium
yes,1,female,adult,medium
no,3,male,adult,medium
yes,3,male,adult,medium
yes,3,male,adult,medium
yes,3,male,adult,medium
yes,1,female,adult,medium
yes,1,male,adult,medium
yes,1,female,teen,medium
yes,1,male,adult,medium
yes,1,male,adult,medium
yes,1,female,adult,medium
yes,1,female,teen,medium
yes,1,female,adult,medium
no,1,male,adult,medium
yes,1,female,adult,medium
yes,1,female,adult,medium
yes,1,female,adult,medium
no,1,male,adult,medium
yes,1,female,teen,medium
no,1,male,adult,medium
yes,1,female,adult,medium
no,1,male,adult,medium
yes,1,male,adult,medium
no,1,male,elderly,medium
yes,1,female,adult,medium
yes,1,male,adult,medium
yes,1,female,adult,medium
no,2,male,teen,medium
no,2,male,adult,medium
yes,2,female,adult,medium
yes,2,female,adult,medium
yes,2,female,adult,medium
no,1,male,adult,medium
yes,1,female,adult,medium
yes,1,female,adult,medium
yes,1,female,adult,medium
no,3,male,teen,medium
no,1,male,elderly,medium
yes,1,female,adult,medium
no,1,male,adult,medium
yes,1,female,adult,medium
no,2,male,teen,medium
no,2,male,teen,medium
no,2,male,teen,medium
no,2,male,adult,medium
no,2,male,adult,medium
no,2,male,adult,medium
no,2,male,adult,medium
no,1,male,adult,medium
no,1,male,adult,medium
no,1,male,elderly,medium
yes,1,female,adult,medium
yes,1,female,adult,medium
yes,1,female,adult,medium
yes,1,male,adult,medium
yes,1,male,adult,medium
yes,1,female,adult,medium
no,1,male,adult,medium
no,1,male,adult,medium
yes,1,female,adult,medium
yes,1,female,adult,medium
yes,1,female,elderly,medium
yes,1,female,adult,medium
yes,1,female,adult,medium
no,1,male,adult,medium
yes,1,female,adult,medium
yes,1,female,elderly,medium
no,1,male,adult,medium
no,1,male,adult,medium
no,1,male,adult,medium
yes,1,female,adult,medium
yes,1,male,adult,medium
no,1,male,adult,medium
yes,1,female,teen,medium
yes,1,female,adult,medium
yes,1,female,adult,medium
yes,1,female,elderly,medium
yes,1,male,child,medium
yes,1,male,adult,medium
yes,1,female,adult,medium
no,1,male,adult,medium
yes,1,female,adult,medium
yes,1,male,adult,medium
no,1,male,adult,medium
yes,1,female,adult,medium
yes,1,female,adult,medium
yes,1,female,adult,medium
yes,1,female,adult,medium
yes,1,female,elderly,medium
no,1,male,adult,medium
yes,1,female,adult,medium
yes,1,female,teen,medium
yes,1,female,adult,medium
yes,1,female,adult,medium
yes,1,male,adult,medium
yes,1,female,adult,medium
yes,1,male,adult,medium
no,1,male,adult,medium
yes,1,female,adult,medium
yes,1,female,adult,medium
yes,1,female,teen,medium
yes,1,male,adult,medium
no,1,male,adult,medium
no,1,male,adult,medium
yes,1,female,adult,medium
yes,1,female,adult,medium
no,1,male,adult,high
yes,1,female,adult,high
yes,1,female,adult,high
no,1,male,teen,high
yes,1,female,teen,high
yes,1,female,adult,high
no,1,male,adult,high
yes,1,male,teen,high
yes,1,female,adult,high
no,1,male,adult,high
yes,1,female,adult,high
yes,1,female,adult,high
yes,1,male,child,high
yes,1,female,teen,high
yes,1,male,adult,high
yes,1,female,adult,high
yes,1,male,adult,high
yes,1,male,child,high
yes,1,female,adult,high
yes,1,female,adult,high
yes,1,female,adult,high
yes,1,male,adult,high
yes,1,female,adult,high
no,1,male,adult,high
yes,1,female,adult,high
yes,1,female,adult,high
no,1,male,adult,high
yes,1,female,adult,high
no,1,male,adult,high
yes,1,female,adult,high
no,1,female,child,high
no,1,female,adult,high
no,1,male,adult,high
yes,1,male,baby,high
yes,1,female,adult,high
yes,1,female,adult,high
no,1,male,adult,high
yes,1,female,adult,high
yes,1,female,adult,high
no,1,male,adult,high
yes,1,female,adult,high
yes,1,female,adult,high
yes,1,female,adult,high
yes,1,female,teen,very-high
yes,1,female,adult,very-high
yes,1,female,adult,very-high
yes,1,female,adult,very-high
no,1,male,adult,very-high
no,1,male,adult,very-high
no,1,male,adult,very-high
yes,1,female,adult,very-high
yes,1,female,adult,very-high
no,1,female,elderly,very-high
no,1,male,elderly,very-high
yes,1,female,adult,very-high
no,1,male,adult,very-high
yes,1,female,teen,very-high
yes,1,female,adult,very-high
yes,1,female,adult,very-high
no,1,male,adult,very-high
yes,1,female,adult,very-high
yes,1,female,adult,very-high
no,1,male,elderly,very-high
yes,1,male,teen,very-high
yes,1,female,teen,very-high
yes,1,female,adult,very-high
yes,1,female,adult,very-high
yes,1,female,adult,very-high
yes,1,female,adult,very-high
no,1,male,teen,very-high
no,1,male,elderly,very-high
yes,1,female,adult,very-high
yes,1,female,adult,very-high
yes,1,female,adult,very-high
yes,1,female,adult,very-high
yes,1,male,adult,very-high
yes,1,female,adult,very-high
yes,1,male,adult,very-high
yes,1,female,adult,very-high
